"date","id","pm1","temp","hum","press","co","co2","pm2.5","pm10","label"
"2019-11-29 20:50:07 UTC","31476","7","20.2","51.1","1019.7942","4.45943","420.83377","8","10.4","0"
"2019-11-29 20:50:23 UTC","31477","7","20.2","51.1","1019.7473","4.75772","396.31818","9","11.5","0"
"2019-11-29 20:50:39 UTC","31478","7","20.2","51.1","1019.7868","4.72482","420.83377","12","13.6","0"
"2019-11-29 20:50:55 UTC","31479","5","20.1","51.1","1019.7796","4.75772","339.14816","7","12.4","0"
"2019-11-29 20:51:10 UTC","31480","6","20.1","51","1019.7796","4.72482","384.41788","8","9.5","0"
"2019-11-29 20:51:26 UTC","31481","7","20.1","51","1019.8049","4.82335","297.50146","10","10.4","0"
"2019-11-29 20:51:42 UTC","31482","7","20.2","51","1019.7687","4.52616","297.50146","9","10.4","0"
"2019-11-29 20:51:58 UTC","31483","7","20.2","51","1019.7724","4.62577","372.75293","9","10.5","0"
"2019-11-29 20:52:14 UTC","31484","6","20.2","51","1019.8267","4.82335","384.41788","7","7.4","0"
"2019-11-29 20:52:30 UTC","31485","6","20.2","51","1019.7328","4.79056","396.31818","9","9.5","0"
"2019-11-29 20:52:46 UTC","31486","4","20.2","51","1019.8121","4.65884","396.31818","5","5.4","0"
"2019-11-29 20:53:01 UTC","31487","6","20.2","51","1019.7073","4.79056","307.58145","11","13.5","0"
"2019-11-29 20:53:17 UTC","31488","6","20.1","51","1019.7509","4.79056","433.45386","9","12.4","0"
"2019-11-29 20:53:33 UTC","31489","5","20.2","51.1","1019.8123","4.79056","317.88107","8","9.4","0"
"2019-11-29 20:53:49 UTC","31490","5","20.1","51","1019.7147","4.65884","339.14816","8","10.4","0"
"2019-11-29 20:54:05 UTC","31491","6","20.2","51.1","1019.7798","4.55943","317.88107","8","8.5","0"
"2019-11-29 20:54:21 UTC","31492","6","20.1","51.1","1019.7615","4.79056","317.88107","9","12.5","0"
"2019-11-29 20:54:37 UTC","31493","4","20.1","51.1","1019.7724","4.79056","408.45609","8","10.4","0"
"2019-11-29 20:54:52 UTC","31494","5","20.2","51.1","1019.6495","4.55943","361.3212","7","8.5","0"
"2019-11-29 20:55:08 UTC","31495","5","20.2","51.1","1019.7687","4.82335","420.83377","6","7.4","0"
"2019-11-29 20:55:24 UTC","31496","6","20.1","51.1","1019.7253","4.65884","339.14816","7","7.4","0"
"2019-11-29 20:55:40 UTC","31497","7","20.2","51.1","1019.6821","4.75772","420.83377","8","8.4","0"
"2019-11-29 20:55:56 UTC","31498","5","20.1","51.2","1019.7798","4.72482","408.45609","8","9.4","0"
"2019-11-29 20:56:12 UTC","31499","6","20.2","51.2","1019.6894","4.75772","420.83377","9","12.4","0"
"2019-11-29 20:56:28 UTC","31500","7","20.1","51.1","1019.664","4.45943","420.83377","8","8.4","0"
"2019-11-29 20:56:43 UTC","31501","7","20.1","51.1","1019.7726","4.69186","297.50146","8","9.5","0"
"2019-11-29 20:56:59 UTC","31502","6","20.1","51","1019.7256","4.49283","307.58145","9","9.5","0"
"2019-11-29 20:57:15 UTC","31503","7","20.2","51","1019.7726","4.45943","361.3212","9","9.4","0"
"2019-11-29 20:57:31 UTC","31504","5","20.1","51","1019.7183","4.49283","372.75293","9","10.4","0"
"2019-11-29 20:57:47 UTC","31505","5","20.2","51","1019.6965","4.52616","384.41788","9","9.4","0"
"2019-11-29 20:58:03 UTC","31506","6","20.2","51","1019.6785","4.79056","361.3212","8","10.4","0"
"2019-11-29 20:58:18 UTC","31507","7","20.2","51.1","1019.664","4.69186","408.45609","9","9.5","0"
"2019-11-29 20:58:34 UTC","31508","6","20.2","51.1","1019.7726","4.49283","317.88107","9","11.4","0"
"2019-11-29 20:58:50 UTC","31509","6","20.2","51.1","1019.7363","4.75772","433.45386","9","11.4","0"
"2019-11-29 20:59:06 UTC","31510","7","20.2","51","1019.7111","4.59263","420.83377","9","11.4","0"
"2019-11-29 20:59:22 UTC","31511","5","20.2","51","1019.6641","4.82335","339.14816","6","6.4","0"
"2019-11-29 20:59:37 UTC","31512","6","20.2","51","1019.693","4.75772","361.3212","8","9.5","0"
"2019-11-29 20:59:53 UTC","31513","6","20.1","51","1019.7111","4.75772","361.3212","9","10.5","0"
"2019-11-29 21:00:09 UTC","31514","6","20.2","51","1019.7002","4.69186","408.45609","8","9.5","0"
"2019-11-29 21:00:25 UTC","31515","5","20.2","51","1019.7075","4.59263","328.40256","7","8.4","0"
"2019-11-29 21:00:41 UTC","31516","6","20.1","51","1019.7545","4.55943","420.83377","7","7.5","0"
"2019-11-29 21:00:57 UTC","31517","6","20.1","51","1019.7436","4.49283","361.3212","9","10.5","0"
"2019-11-29 21:01:13 UTC","31518","5","20.2","51.1","1019.7433","4.69186","433.45386","7","9.4","0"
"2019-11-29 21:01:28 UTC","31519","5","20.2","51.1","1019.6749","4.75772","307.58145","7","7.4","0"
"2019-11-29 21:01:44 UTC","31520","5","20.1","51.1","1019.6857","4.59263","408.45609","8","10.5","0"
"2019-11-29 21:02:00 UTC","31521","6","20.1","51","1019.7433","4.69186","384.41788","9","9.4","0"
"2019-11-29 21:02:16 UTC","31522","7","20.2","51.1","1019.6641","4.52616","297.50146","11","11.5","0"
"2019-11-29 21:02:32 UTC","31523","6","20.2","51.1","1019.6351","4.79056","408.45609","9","9.4","0"
"2019-11-29 21:02:47 UTC","31524","6","20.1","51.1","1019.6784","4.62577","408.45609","9","10.4","0"
"2019-11-29 21:03:03 UTC","31525","0","20.1","51.1","1019.6749","4.45943","420.83377","0","151","0"
"2019-11-29 21:03:19 UTC","31526","8","20.1","51.1","1019.7147","4.82335","339.14816","9","9.5","0"
"2019-11-29 21:03:35 UTC","31527","6","20.1","51.1","1019.7146","4.65884","350.12042","9","11.4","0"
"2019-11-29 21:03:51 UTC","31528","7","20.1","51.1","1019.7363","4.82335","297.50146","9","12.5","0"
"2019-11-29 21:04:07 UTC","31529","5","20.2","51.1","1019.7183","4.59263","408.45609","8","8.4","0"
"2019-11-29 21:04:22 UTC","31530","7","20.1","51.1","1019.7507","4.75772","408.45609","9","11.4","0"
"2019-11-29 21:04:38 UTC","31531","6","20.1","51.1","1019.7291","4.82335","350.12042","9","9.4","0"
"2019-11-29 21:04:54 UTC","31532","7","20.2","51.2","1019.7003","4.79056","372.75293","11","11.5","0"
"2019-11-29 21:05:10 UTC","31533","6","20.2","51.2","1019.6893","4.55943","361.3212","9","9.5","0"
"2019-11-29 21:05:26 UTC","31534","7","20.1","51.2","1019.7473","4.82335","339.14816","10","10.4","0"
"2019-11-29 21:05:42 UTC","31535","6","20.2","51.2","1019.7509","4.55943","361.3212","10","13.5","0"
"2019-11-29 21:05:58 UTC","31536","6","20.2","51.2","1019.7256","4.69186","396.31818","10","12.4","0"
"2019-11-29 21:06:13 UTC","31537","5","20.2","51.3","1019.7146","4.69186","297.50146","7","7.4","0"
"2019-11-29 21:06:29 UTC","31538","5","20.2","51.3","1019.7979","4.72482","361.3212","6","6.4","0"
"2019-11-29 21:06:45 UTC","31539","6","20.2","51.2","1019.7977","4.65884","408.45609","10","10.4","0"
"2019-11-29 21:07:01 UTC","31540","8","20.2","51.2","1019.7761","4.69186","420.83377","8","8.5","0"
"2019-11-29 21:07:17 UTC","31541","7","20.1","51.1","1019.7581","4.79056","420.83377","9","13.5","0"
"2019-11-29 21:07:33 UTC","31542","7","20.2","51.2","1019.7399","4.72482","317.88107","8","13.4","0"
"2019-11-29 21:07:49 UTC","31543","6","20.1","51.1","1019.7654","4.72482","384.41788","7","9.4","0"
"2019-11-29 21:08:04 UTC","31544","6","20.2","51.1","1019.7904","4.82335","420.83377","10","10.5","0"
"2019-11-29 21:08:20 UTC","31545","7","20.2","51.1","1019.7253","4.52616","384.41788","9","9.5","0"
"2019-11-29 21:08:36 UTC","31546","6","20.2","51.1","1019.7255","4.82335","372.75293","8","11.4","0"
"2019-11-29 21:08:52 UTC","31547","5","20.2","51.2","1019.7687","4.65884","350.12042","8","9.4","0"
"2019-11-29 21:09:08 UTC","31548","7","20.2","51.1","1019.7181","4.79056","361.3212","11","12.4","0"
"2019-11-29 21:09:24 UTC","31549","6","20.1","51.1","1019.7578","4.75772","307.58145","8","10.4","0"
"2019-11-29 21:09:39 UTC","31550","9","20.1","51.1","1019.7433","4.55943","420.83377","10","14.6","0"
"2019-11-29 21:09:55 UTC","31551","6","20.1","51","1019.7505","4.69186","361.3212","9","10.4","0"
"2019-11-29 21:10:11 UTC","31552","7","20.1","51","1019.6749","4.59263","396.31818","10","12.5","0"
"2019-11-29 21:10:27 UTC","31553","6","20.1","51","1019.7038","4.75772","328.40256","11","12.5","0"
"2019-11-29 21:10:43 UTC","31554","7","20.1","51","1019.7075","4.72482","420.83377","10","10.5","0"
"2019-11-29 21:10:58 UTC","31555","8","20.1","51.1","1019.6133","4.82335","339.14816","9","9.5","0"
"2019-11-29 21:11:14 UTC","31556","6","20.2","51.2","1019.6785","4.82335","420.83377","8","15.5","0"
"2019-11-29 21:11:30 UTC","31557","6","20.1","51.2","1019.6963","4.62577","420.83377","8","8.4","0"
"2019-11-29 21:11:46 UTC","31558","6","20.2","51.1","1019.6386","4.69186","408.45609","10","12.4","0"
"2019-11-29 21:12:02 UTC","31559","6","20.2","51.2","1019.6784","4.82335","339.14816","9","9.4","0"
"2019-11-29 21:12:18 UTC","31560","6","20.1","51.1","1019.6423","4.55943","408.45609","10","10.5","0"
"2019-11-29 21:12:33 UTC","31561","6","20.1","51.1","1019.6639","4.69186","372.75293","9","13.4","0"
"2019-11-29 21:12:49 UTC","31562","0","20.1","51","1019.7183","4.79056","339.14816","15.1","0.2","0"
"2019-11-29 21:13:05 UTC","31563","8","20.1","51","1019.7038","4.49283","408.45609","11.5","4.1","0"
"2019-11-29 21:13:21 UTC","31564","7","20.2","51","1019.7003","4.69186","384.41788","9","9.5","0"
"2019-11-29 21:13:37 UTC","31565","7","20.1","51","1019.7036","4.72482","384.41788","9","11.5","0"
"2019-11-29 21:13:53 UTC","31566","6","20.2","51","1019.7038","4.59263","420.83377","9","9.4","0"
"2019-11-29 21:14:08 UTC","31567","7","20.1","51","1019.6495","4.55943","384.41788","10","10.5","0"
"2019-11-29 21:14:24 UTC","31568","7","20.2","51.1","1019.6857","4.49283","433.45386","8","11.4","0"
"2019-11-29 21:14:40 UTC","31569","6","20.1","51.1","1019.7327","4.49283","317.88107","8","8.5","0"
"2019-11-29 21:14:56 UTC","31570","5","20.1","51.1","1019.8266","4.65884","420.83377","7","8.4","0"
"2019-11-29 21:15:12 UTC","31571","6","20.2","51.1","1019.7147","4.85609","396.31818","8","8.4","0"
"2019-11-29 21:15:27 UTC","31572","6","20.2","51","1019.8121","4.49283","317.88107","8","11.4","0"
"2019-11-29 21:15:43 UTC","31573","7","20.1","51","1019.7436","4.79056","420.83377","8","12.4","0"
"2019-11-29 21:15:59 UTC","31574","6","20.2","51.1","1019.8196","4.79056","384.41788","7","8.4","0"
"2019-11-29 21:16:15 UTC","31575","7","20.1","51.1","1019.7798","4.79056","384.41788","10","13.5","0"
"2019-11-29 21:16:31 UTC","31576","7","20.1","51","1019.7617","4.85609","339.14816","9","11.5","0"
"2019-11-29 21:16:47 UTC","31577","6","20.1","51","1019.8196","4.75772","396.31818","7","10.4","0"
"2019-11-29 21:17:03 UTC","31578","11","20.2","51","1019.7726","4.49283","384.41788","8","10","0"
"2019-11-29 21:17:18 UTC","31579","6","20.1","51","1019.7689","4.49283","433.45386","10","11.5","0"
"2019-11-29 21:17:34 UTC","31580","8","20.2","51","1019.8304","4.52616","317.88107","11","12.5","0"
"2019-11-29 21:17:50 UTC","31581","8","20.2","51.1","1019.7906","4.62577","420.83377","10","13.5","0"
"2019-11-29 21:18:06 UTC","31582","7","20.1","51.1","1019.7508","4.82335","420.83377","10","13.5","0"
"2019-11-29 21:18:22 UTC","31583","5","20.1","51.1","1019.8196","4.75772","350.12042","7","7.4","0"
"2019-11-29 21:18:38 UTC","31584","7","20.2","51.1","1019.7508","4.75772","339.14816","8","11.4","0"
"2019-11-29 21:18:54 UTC","31585","7","20.1","51.2","1019.769","4.49283","328.40256","8","10.5","0"
